"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"AGE00135039","1852-01-01","35.7297","0.65","50.0","ORAN HOPITAL MILITAIRE, AG","    0",",,E","  160",",,E","   90",",,E"
"AGE00135039","1852-01-02","35.7297","0.65","50.0","ORAN HOPITAL MILITAIRE, AG","    0",",,E","  158",",,E","   93",",,E"
"AGE00135039","1852-01-03","35.7297","0.65","50.0","ORAN HOPITAL MILITAIRE, AG","  255",",,E","  125",",,E","   83",",,E"
"AGE00135039","1852-01-04","35.7297","0.65","50.0","ORAN HOPITAL MILITAIRE, AG","  220",",,E","  133",",,E","   90",",,E"
"AGE00135039","1852-01-05","35.7297","0.65","50.0","ORAN HOPITAL MILITAIRE, AG","    0",",,E","  125",",,E","   53",",,E"
"AGE00135039","1852-01-06","35.7297","0.65","50.0","ORAN HOPITAL MILITAIRE, AG","    0",",,E","  115",",,E","   53",",,E"
"AGE00135039","1852-01-07","35.7297","0.65","50.0","ORAN HOPITAL MILITAIRE, AG","    0",",,E","  115",",,E","   35",",,E"
"AGE00135039","1852-01-08","35.7297","0.65","50.0","ORAN HOPITAL MILITAIRE, AG","    0",",,E","  123",",,E","   65",",,E"
"AGE00135039","1852-01-09","35.7297","0.65","50.0","ORAN HOPITAL MILITAIRE, AG","   15",",,E","  125",",,E","   73",",,E"
"AGE00135039","1852-01-10","35.7297","0.65","50.0","ORAN HOPITAL MILITAIRE, AG","   20",",,E","  155",",,E","   85",",,E"
"AGE00135039","1852-01-11","35.7297","0.65","50.0","ORAN HOPITAL MILITAIRE, AG","    0",",,E","  153",",,E","   70",",,E"
"AGE00135039","1852-01-12","35.7297","0.65","50.0","ORAN HOPITAL MILITAIRE, AG","    0",",,E","  148",",,E","   63",",,E"
"AGE00135039","1852-01-13","35.7297","0.65","50.0","ORAN HOPITAL MILITAIRE, AG","    0",",,E","  145",",,E","   90",",,E"
"AGE00135039","1852-01-14","35.7297","0.65","50.0","ORAN HOPITAL MILITAIRE, AG","    0",",,E","  160",",,E","   70",",,E"
"AGE00135039","1852-01-15","35.7297","0.65","50.0","ORAN HOPITAL MILITAIRE, AG","    0",",,E","  155",",,E","   60",",,E"
"AGE00135039","1852-01-16","35.7297","0.65","50.0","ORAN HOPITAL MILITAIRE, AG","    0",",,E","  125",",,E","   65",",,E"
"AGE00135039","1852-01-17","35.7297","0.65","50.0","ORAN HOPITAL MILITAIRE, AG","    0",",,E","  153",",,E","   60",",,E"
"AGE00135039","1852-01-18","35.7297","0.65","50.0","ORAN HOPITAL MILITAIRE, AG","    0",",,E","  160",",,E","   63",",,E"
"AGE00135039","1852-01-19","35.7297","0.65","50.0","ORAN HOPITAL MILITAIRE, AG","    0",",,E","  150",",,E","   95",",,E"
